[2025-04-08T10:28:46.568Z] - App avviata con successo
[2025-04-08T10:37:58.024Z] - Applicazione avviata con successo!
[2025-04-08T10:46:03.793Z] - Applicazione avviata con successo!
[2025-04-08T10:49:00.677Z] - Applicazione avviata con successo!
[2025-04-08T10:52:08.896Z] - Applicazione avviata con successo!
[2025-04-08T10:52:55.274Z] - Applicazione avviata con successo!
[2025-04-08T10:54:10.225Z] - Applicazione avviata con successo!
[2025-04-08T10:54:16.597Z] - Errore: Questo è un errore di test!
[2025-04-08T10:55:22.934Z] - Applicazione avviata con successo!
[2025-04-08T10:55:29.756Z] - Applicazione avviata con successo!
[2025-04-08T10:55:51.999Z] - Applicazione avviata con successo!
